codigo_ocorrencia;aeronave_tipo_veiculo;aeronave_fabricante;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_registro_segmento;aeronave_fase_operacao;aeronave_nivel_dano;aeronave_fatalidades_total;aeronave_peso_maximo_decolagem;ocorrencia_classificacao;ocorrencia_uf;ocorrencia_aeronaves_envolvidas;ocorrencia_saida_pista;ocorrencia_ano;ocorrencia_periodo;ocorrencia_tipo
78595;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;PISTÃO;MONOMOTOR;PARTICULAR;VOO A BAIXA ALTURA;LEVE;0;ATÉ 2250KG;INCIDENTE GRAVE;GO;1;NÃO;2019;TARDE;PERDA DE CONTROLE EM VOO
78596;HELICÓPTERO;SIKORSKY AIRCRAFT;TURBOEIXO;BIMOTOR;ESPECIALIZADA;DECOLAGEM VERTICAL;LEVE;0;ACIMA 5700KG;INCIDENTE;AM;1;NÃO;2019;TARDE;FALHA DO MOTOR EM VOO
78597;AVIÃO;EMBRAER;JATO;BIMOTOR;REGULAR;CRUZEIRO;NENHUM;0;ACIMA 5700KG;INCIDENTE;DF;1;NÃO;2019;NOITE;VAZAMENTO DE OUTROS FLUIDOS
78599;AVIÃO;CESSNA AIRCRAFT;PISTÃO;MONOMOTOR;INSTRUÇÃO;CRUZEIRO;NENHUM;0;ATÉ 2250KG;INCIDENTE GRAVE;MG;1;NÃO;2019;TARDE;PANE SECA
78601;HELICÓPTERO;SIKORSKY AIRCRAFT;TURBOEIXO;BIMOTOR;TÁXI AÉREO;CRUZEIRO;NENHUM;0;ACIMA 5700KG;INCIDENTE;RJ;1;NÃO;2019;NOITE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
78603;AVIÃO;BOEING COMPANY;JATO;TRIMOTOR;REGULAR;SUBIDA;LEVE;0;ACIMA 5700KG;INCIDENTE;PR;1;NÃO;2019;MADRUGADA;COM PARA-BRISAS / JANELA / PORTA
78604;AVIÃO;AEROSPATIALE AND ALENIA;TURBOÉLICE;BIMOTOR;REGULAR;OPERAÇÃO DE SOLO;NENHUM;0;ACIMA 5700KG;INCIDENTE;PR;1;NÃO;2019;NOITE;FUMAÇA NA CABINE
78605;AVIÃO;AIR TRACTOR;TURBOÉLICE;MONOMOTOR;AGRÍCOLA;DECOLAGEM;SUBSTANCIAL;0;ACIMA 5700KG;ACIDENTE;SP;1;SIM;2019;NOITE;COM TREM DE POUSO
78607;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;PISTÃO;MONOMOTOR;AGRÍCOLA;MANOBRA;SUBSTANCIAL;0;ATÉ 2250KG;ACIDENTE;SP;1;NÃO;2019;TARDE;OPERAÇÃO A BAIXA ALTITUDE
78608;AVIÃO;PIPER AIRCRAFT;TURBOÉLICE;BIMOTOR;PARTICULAR;CORRIDA APÓS POUSO;SUBSTANCIAL;0;ENTRE 2250KG E 5700KG;ACIDENTE;MA;1;NÃO;2019;MANHÃ;COLISÃO COM FAUNA
78609;HELICÓPTERO;ROBINSON HELICOPTER;PISTÃO;MONOMOTOR;AGRÍCOLA;MANOBRA;SUBSTANCIAL;0;ATÉ 2250KG;ACIDENTE;PR;1;NÃO;2019;MANHÃ;OPERAÇÃO A BAIXA ALTITUDE
78610;AVIÃO;AVIONS MUDRY;PISTÃO;MONOMOTOR;PARTICULAR;DECOLAGEM;DESTRUÍDA;1;ATÉ 2250KG;ACIDENTE;RS;1;NÃO;2019;NOITE;OPERAÇÃO A BAIXA ALTITUDE
78612;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;PISTÃO;MONOMOTOR;PARTICULAR;POUSO;SUBSTANCIAL;0;ATÉ 2250KG;ACIDENTE;SP;1;NÃO;2019;TARDE;POUSO BRUSCO
