codigo_ocorrencia;aeronave_tipo_veiculo;aeronave_fabricante;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_registro_segmento;aeronave_fase_operacao;aeronave_nivel_dano;aeronave_fatalidades_total;aeronave_peso_maximo_decolagem;ocorrencia_classificacao;ocorrencia_uf;ocorrencia_aeronaves_envolvidas;ocorrencia_saida_pista;ocorrencia_ano;ocorrencia_periodo;ocorrencia_tipo
39115;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;PISTÃO;MONOMOTOR;PARTICULAR;DECOLAGEM;SUBSTANCIAL;0;ATÉ 2250KG;ACIDENTE;BA;1;NÃO;2010;TARDE;PANE SECA
39155;AVIÃO;BEECH AIRCRAFT;TURBOÉLICE;BIMOTOR;PARTICULAR;DECOLAGEM;NENHUM;0;ENTRE 2250KG E 5700KG;INCIDENTE;MG;1;NÃO;2010;TARDE;VAZAMENTO DE COMBUSTÍVEL
39156;AVIÃO;AEROSPATIALE AND ALENIA;TURBOÉLICE;BIMOTOR;REGULAR;ARREMETIDA NO AR;LEVE;0;ACIMA 5700KG;INCIDENTE GRAVE;PR;1;NÃO;2010;NOITE;FOGO EM VOO
39158;AVIÃO;BOEING COMPANY;JATO;BIMOTOR;REGULAR;SUBIDA;NENHUM;0;ACIMA 5700KG;INCIDENTE;PA;1;NÃO;2010;TARDE;SUPERAQUECIMENTO
39176;AVIÃO;AIRBUS INDUSTRIE;JATO;BIMOTOR;REGULAR;SUBIDA;NENHUM;0;ACIMA 5700KG;INCIDENTE;MA;1;NÃO;2010;MANHÃ;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
39178;AVIÃO;AIRBUS INDUSTRIE;JATO;BIMOTOR;REGULAR;SUBIDA;NENHUM;0;ACIMA 5700KG;INCIDENTE;SP;1;NÃO;2010;TARDE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
39235;AVIÃO;CESSNA AIRCRAFT;PISTÃO;MONOMOTOR;AGRÍCOLA;DECOLAGEM;DESTRUÍDA;1;ATÉ 2250KG;ACIDENTE;GO;1;NÃO;2010;TARDE;PERDA DE CONTROLE EM VOO
39275;HELICÓPTERO;EUROCOPTER FRANCE;TURBOEIXO;MONOMOTOR;PARTICULAR;CRUZEIRO;DESTRUÍDA;1;ATÉ 2250KG;ACIDENTE;SP;1;NÃO;2010;MANHÃ;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
39295;ULTRALEVE;NÃO INFORMADO;PISTÃO;MONOMOTOR;EXPERIMENTAL;APROXIMAÇÃO FINAL;SUBSTANCIAL;2;ATÉ 2250KG;ACIDENTE;RJ;1;NÃO;2010;NOITE;PERDA DE CONTROLE EM VOO
39315;HELICÓPTERO;HELIBRAS;TURBOEIXO;MONOMOTOR;TÁXI AÉREO;CRUZEIRO;NÃO INFORMADO;2;ATÉ 2250KG;ACIDENTE;AM;1;NÃO;2010;NOITE;OUTROS
39316;AVIÃO;AERO BOERO;PISTÃO;MONOMOTOR;INSTRUÇÃO;POUSO;SUBSTANCIAL;0;ATÉ 2250KG;ACIDENTE;SC;1;NÃO;2010;TARDE;POUSO ANTES DA PISTA
39317;AVIÃO;AERO BOERO;PISTÃO;MONOMOTOR;INSTRUÇÃO;POUSO;SUBSTANCIAL;0;ATÉ 2250KG;ACIDENTE;GO;1;NÃO;2010;TARDE;POUSO BRUSCO
39318;AVIÃO;EMBRAER;TURBOÉLICE;BIMOTOR;TÁXI AÉREO;DESCIDA;SUBSTANCIAL;2;ENTRE 2250KG E 5700KG;ACIDENTE;PA;1;NÃO;2010;TARDE;FALHA DO MOTOR EM VOO
39319;AVIÃO;EMBRAER;PISTÃO;BIMOTOR;PARTICULAR;SUBIDA;DESTRUÍDA;2;ATÉ 2250KG;ACIDENTE;SP;1;NÃO;2010;MANHÃ;PANE SECA
39320;AVIÃO;CESSNA AIRCRAFT;PISTÃO;MONOMOTOR;AGRÍCOLA;DECOLAGEM;SUBSTANCIAL;0;ATÉ 2250KG;ACIDENTE;PR;1;NÃO;2010;NOITE;PERDA DE CONTROLE EM VOO
39321;AVIÃO;CESSNA AIRCRAFT;PISTÃO;MONOMOTOR;PARTICULAR;POUSO;DESTRUÍDA;1;ATÉ 2250KG;ACIDENTE;MT;1;NÃO;2010;TARDE;PERDA DE CONTROLE EM VOO
39322;HELICÓPTERO;ROBINSON HELICOPTER;PISTÃO;MONOMOTOR;ESPECIALIZADA;DECOLAGEM;SUBSTANCIAL;0;ATÉ 2250KG;ACIDENTE;SP;1;NÃO;2010;TARDE;PERDA DE CONTROLE EM VOO
39323;ULTRALEVE;NÃO INFORMADO;PISTÃO;MONOMOTOR;EXPERIMENTAL;SUBIDA;SUBSTANCIAL;1;ATÉ 2250KG;ACIDENTE;RJ;1;NÃO;2010;TARDE;PERDA DE CONTROLE EM VOO
39365;AVIÃO;AIRBUS INDUSTRIE;JATO;BIMOTOR;REGULAR;DECOLAGEM;NÃO INFORMADO;0;ACIMA 5700KG;INCIDENTE;GO;1;NÃO;2010;TARDE;COLISÃO COM AVE
39367;AVIÃO;AERO BOERO;PISTÃO;MONOMOTOR;INSTRUÇÃO;CORRIDA APÓS POUSO;LEVE;0;ATÉ 2250KG;INCIDENTE;SP;1;NÃO;2010;NOITE;PERDA DE CONTROLE NO SOLO
39385;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;PISTÃO;MONOMOTOR;PARTICULAR;POUSO;SUBSTANCIAL;0;ATÉ 2250KG;INCIDENTE GRAVE;DF;1;NÃO;2010;TARDE;POUSO SEM TREM
39386;AVIÃO;AEROSPATIALE AND ALENIA;TURBOÉLICE;BIMOTOR;REGULAR;CRUZEIRO;NENHUM;0;ACIMA 5700KG;INCIDENTE;SP;1;NÃO;2010;MANHÃ;FALHA DO MOTOR EM VOO
39405;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;PISTÃO;MONOMOTOR;PARTICULAR;ESPECIALIZADA;SUBSTANCIAL;0;ATÉ 2250KG;ACIDENTE;MT;1;NÃO;2010;MANHÃ;PERDA DE CONTROLE EM VOO
39487;AVIÃO;BEECH AIRCRAFT;PISTÃO;MONOMOTOR;PARTICULAR;POUSO;SUBSTANCIAL;0;ATÉ 2250KG;INCIDENTE GRAVE;TO;1;NÃO;2010;TARDE;POUSO SEM TREM
39507;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;PISTÃO;MONOMOTOR;AGRÍCOLA;OUTRA FASE;SUBSTANCIAL;0;ATÉ 2250KG;ACIDENTE;MT;1;NÃO;2010;TARDE;FALHA DO MOTOR EM VOO
39527;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;PISTÃO;MONOMOTOR;PARTICULAR;VOO A BAIXA ALTURA;SUBSTANCIAL;0;ATÉ 2250KG;ACIDENTE;MT;1;NÃO;2010;TARDE;OPERAÇÃO A BAIXA ALTITUDE
39627;AVIÃO;AIRBUS INDUSTRIE;JATO;BIMOTOR;REGULAR;TÁXI;LEVE;0;ACIMA 5700KG;INCIDENTE;SC;1;NÃO;2010;TARDE;F.O.D.
39687;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;PISTÃO;MONOMOTOR;ESPECIALIZADA;ESPECIALIZADA;NENHUM;0;ATÉ 2250KG;INCIDENTE GRAVE;SC;1;NÃO;2010;MANHÃ;FALHA DO MOTOR EM VOO
39707;AVIÃO;EMBRAER;PISTÃO;BIMOTOR;PARTICULAR;CRUZEIRO;LEVE;0;ATÉ 2250KG;INCIDENTE GRAVE;AM;1;NÃO;2010;TARDE;COM TREM DE POUSO
39709;AVIÃO;PIPER AIRCRAFT;TURBOÉLICE;BIMOTOR;PARTICULAR;CORRIDA APÓS POUSO;NENHUM;0;ENTRE 2250KG E 5700KG;INCIDENTE GRAVE;PR;1;SIM;2010;TARDE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
39711;AVIÃO;ANTONIO CESAR DA SILVA AMARAL;PISTÃO;MONOMOTOR;EXPERIMENTAL;POUSO;SUBSTANCIAL;0;ATÉ 2250KG;INCIDENTE GRAVE;MG;1;NÃO;2010;NOITE;COM TREM DE POUSO
39727;AVIÃO;EMBRAER;TURBOÉLICE;BIMOTOR;TÁXI AÉREO;POUSO;LEVE;0;ENTRE 2250KG E 5700KG;INCIDENTE GRAVE;MT;1;SIM;2010;NOITE;COM TREM DE POUSO
39747;AVIÃO;EMBRAER;PISTÃO;BIMOTOR;TÁXI AÉREO;DECOLAGEM;LEVE;0;ENTRE 2250KG E 5700KG;INCIDENTE;BA;1;NÃO;2010;NOITE;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO
39748;AVIÃO;CESSNA AIRCRAFT;PISTÃO;MONOMOTOR;ESPECIALIZADA;ESPECIALIZADA;NENHUM;0;ATÉ 2250KG;INCIDENTE;PR;1;NÃO;2010;TARDE;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO
39768;AVIÃO;HAWKER BEECHCRAFT;TURBOÉLICE;BIMOTOR;ADMINISTRAÇÃO DIRETA;MANOBRA;LEVE;0;ENTRE 2250KG E 5700KG;INCIDENTE;SP;1;NÃO;2010;NOITE;CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO
39772;AVIÃO;PILATUS;TURBOÉLICE;MONOMOTOR;PARTICULAR;CORRIDA APÓS POUSO;NENHUM;0;ENTRE 2250KG E 5700KG;INCIDENTE;MG;1;NÃO;2010;NOITE;ESTOURO DE PNEU
39787;AVIÃO;AERO BOERO;PISTÃO;MONOMOTOR;INSTRUÇÃO;CORRIDA APÓS POUSO;LEVE;0;ATÉ 2250KG;INCIDENTE;GO;1;SIM;2010;NOITE;PERDA DE CONTROLE NO SOLO
39789;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;PISTÃO;MONOMOTOR;ESPECIALIZADA;CHEQUE DE MOTOR OU ROTOR;LEVE;0;ATÉ 2250KG;INCIDENTE;RS;1;NÃO;2010;NOITE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
39807;AVIÃO;CESSNA AIRCRAFT;PISTÃO;MONOMOTOR;INSTRUÇÃO;CORRIDA APÓS POUSO;LEVE;0;ATÉ 2250KG;INCIDENTE;BA;1;NÃO;2010;TARDE;ESTOURO DE PNEU
39809;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;PISTÃO;MONOMOTOR;PARTICULAR;DECOLAGEM;LEVE;0;ATÉ 2250KG;INCIDENTE;SP;1;NÃO;2010;TARDE;COLISÃO COM AVE
39810;AVIÃO;EMBRAER;PISTÃO;BIMOTOR;TÁXI AÉREO;DECOLAGEM;NENHUM;0;ENTRE 2250KG E 5700KG;INCIDENTE;BA;1;NÃO;2010;NOITE;ESTOURO DE PNEU
39828;HELICÓPTERO;EUROCOPTER FRANCE;TURBOEIXO;MONOMOTOR;ADMINISTRAÇÃO DIRETA;MANOBRA;LEVE;0;ATÉ 2250KG;INCIDENTE;SP;1;NÃO;2010;TARDE;COLISÃO COM AVE
39847;AVIÃO;CIRRUS DESIGN;PISTÃO;MONOMOTOR;PARTICULAR;TÁXI;LEVE;0;ATÉ 2250KG;INCIDENTE;SP;1;NÃO;2010;TARDE;COLISÃO COM OBSTÁCULOS NO SOLO
39848;AVIÃO;AIRBUS INDUSTRIE;JATO;BIMOTOR;REGULAR;OUTRA FASE;NENHUM;0;ACIMA 5700KG;INCIDENTE;SP;1;NÃO;2010;TARDE;CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO
39849;AVIÃO;AIRBUS INDUSTRIE;JATO;BIMOTOR;REGULAR;SUBIDA;NENHUM;0;ACIMA 5700KG;INCIDENTE;RJ;1;NÃO;2010;MADRUGADA;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
39850;AVIÃO;AEROMOT;PISTÃO;MONOMOTOR;INSTRUÇÃO;POUSO;LEVE;0;ATÉ 2250KG;INCIDENTE;PA;1;NÃO;2010;TARDE;COM TREM DE POUSO
39851;AVIÃO;FOKKER;JATO;BIMOTOR;REGULAR;TÁXI;NENHUM;0;ACIMA 5700KG;INCIDENTE;RS;1;NÃO;2010;MADRUGADA;OUTROS
39887;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;PISTÃO;MONOMOTOR;INSTRUÇÃO;SUBIDA;SUBSTANCIAL;0;ATÉ 2250KG;ACIDENTE;MG;1;SIM;2010;TARDE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
39910;AVIÃO;AIRBUS INDUSTRIE;JATO;BIMOTOR;REGULAR;DECOLAGEM;LEVE;0;ACIMA 5700KG;INCIDENTE;SP;1;NÃO;2010;MADRUGADA;COLISÃO COM OBSTÁCULOS NO SOLO
39913;AVIÃO;CESSNA AIRCRAFT;TURBOÉLICE;MONOMOTOR;TÁXI AÉREO;DECOLAGEM;NENHUM;0;ENTRE 2250KG E 5700KG;INCIDENTE GRAVE;AC;1;SIM;2010;MANHÃ;COM PARA-BRISAS / JANELA / PORTA
39914;AVIÃO;AERO BOERO;PISTÃO;MONOMOTOR;INSTRUÇÃO;CIRCUITO DE TRÁFEGO;NENHUM;0;ATÉ 2250KG;INCIDENTE;PR;1;NÃO;2010;NOITE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
39916;AVIÃO;LEARJET;JATO;BIMOTOR;TÁXI AÉREO;DECOLAGEM;LEVE;0;ACIMA 5700KG;INCIDENTE GRAVE;AM;1;SIM;2010;NOITE;ESTOURO DE PNEU
39930;AVIÃO;CESSNA AIRCRAFT;JATO;BIMOTOR;TÁXI AÉREO;CRUZEIRO;NENHUM;0;ACIMA 5700KG;INCIDENTE GRAVE;PR;1;NÃO;2010;TARDE;PROBLEMAS FISIOLÓGICOS
39933;AVIÃO;CESSNA AIRCRAFT;PISTÃO;BIMOTOR;PARTICULAR;DESCIDA;DESTRUÍDA;2;ENTRE 2250KG E 5700KG;ACIDENTE;MG;1;NÃO;2010;MANHÃ;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO
39967;HELICÓPTERO;BELL HELICOPTER;TURBOEIXO;MONOMOTOR;TÁXI AÉREO;CRUZEIRO;NENHUM;0;ATÉ 2250KG;INCIDENTE;BA;1;NÃO;2010;TARDE;FALHA DO MOTOR EM VOO
39969;AVIÃO;BOEING COMPANY;JATO;BIMOTOR;REGULAR;SUBIDA;NENHUM;0;ACIMA 5700KG;INCIDENTE;BA;1;NÃO;2010;NOITE;FALHA DO MOTOR EM VOO
39972;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;PISTÃO;MONOMOTOR;PARTICULAR;CRUZEIRO;NENHUM;0;ATÉ 2250KG;INCIDENTE;MG;1;NÃO;2010;TARDE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
39987;AVIÃO;CESSNA AIRCRAFT;PISTÃO;MONOMOTOR;ESPECIALIZADA;POUSO;LEVE;0;ATÉ 2250KG;INCIDENTE;RJ;1;NÃO;2010;NOITE;ESTOURO DE PNEU
39988;AVIÃO;CESSNA AIRCRAFT;PISTÃO;MONOMOTOR;INSTRUÇÃO;CORRIDA APÓS POUSO;LEVE;0;ATÉ 2250KG;INCIDENTE;PR;1;NÃO;2010;TARDE;ESTOURO DE PNEU
39992;AVIÃO;EMBRAER;JATO;BIMOTOR;PARTICULAR;CORRIDA APÓS POUSO;LEVE;0;ENTRE 2250KG E 5700KG;ACIDENTE;SP;1;SIM;2010;NOITE;EXCURSÃO DE PISTA
39993;AVIÃO;CESSNA AIRCRAFT;PISTÃO;MONOMOTOR;INSTRUÇÃO;DECOLAGEM;LEVE;0;ATÉ 2250KG;INCIDENTE GRAVE;PR;1;NÃO;2010;TARDE;FALHA DO MOTOR EM VOO
40027;AVIÃO;AERO BOERO;PISTÃO;MONOMOTOR;INSTRUÇÃO;DECOLAGEM;LEVE;0;ATÉ 2250KG;INCIDENTE;SC;1;NÃO;2010;NOITE;PERDA DE CONTROLE NO SOLO
40069;HELICÓPTERO;HELIBRAS;TURBOEIXO;MONOMOTOR;PARTICULAR;PARTIDA DO MOTOR;DESTRUÍDA;0;ATÉ 2250KG;ACIDENTE;SP;1;NÃO;2010;TARDE;PERDA DE CONTROLE NO SOLO
40087;AVIÃO;CESSNA AIRCRAFT;PISTÃO;MONOMOTOR;PARTICULAR;DECOLAGEM;SUBSTANCIAL;0;ATÉ 2250KG;ACIDENTE;GO;1;NÃO;2010;MANHÃ;FALHA DO MOTOR EM VOO
40088;AVIÃO;BEECH AIRCRAFT;PISTÃO;BIMOTOR;ADMINISTRAÇÃO DIRETA;POUSO;SUBSTANCIAL;0;ENTRE 2250KG E 5700KG;ACIDENTE;RR;1;SIM;2010;TARDE;POUSO LONGO
40089;AVIÃO;CESSNA AIRCRAFT;PISTÃO;MONOMOTOR;PARTICULAR;OUTRA FASE;SUBSTANCIAL;0;ATÉ 2250KG;ACIDENTE;MT;1;SIM;2010;TARDE;PERDA DE CONTROLE EM VOO
40107;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;PISTÃO;MONOMOTOR;TÁXI AÉREO;POUSO;LEVE;0;ATÉ 2250KG;ACIDENTE;PA;1;NÃO;2010;TARDE;COLISÃO COM OBSTÁCULO DURANTE A DECOLAGEM E POUSO
40147;AVIÃO;PIPER AIRCRAFT;PISTÃO;BIMOTOR;PARTICULAR;POUSO;SUBSTANCIAL;0;ATÉ 2250KG;ACIDENTE;PR;1;SIM;2010;TARDE;EXCURSÃO DE PISTA
40148;AVIÃO;CESSNA AIRCRAFT;PISTÃO;MONOMOTOR;PARTICULAR;APROXIMAÇÃO FINAL;SUBSTANCIAL;0;ATÉ 2250KG;ACIDENTE;MS;1;NÃO;2010;NOITE;PANE SECA
40149;AVIÃO;XAVANTE;PISTÃO;MONOMOTOR;INSTRUÇÃO;DECOLAGEM;DESTRUÍDA;0;ATÉ 2250KG;ACIDENTE;GO;1;NÃO;2010;NOITE;FALHA DO MOTOR EM VOO
40150;AVIÃO;BEECH AIRCRAFT;PISTÃO;MONOMOTOR;ADMINISTRAÇÃO DIRETA;POUSO;LEVE;0;ATÉ 2250KG;INCIDENTE GRAVE;RS;1;NÃO;2010;TARDE;COM TREM DE POUSO
40168;AVIÃO;DASSAULT AVIATION;JATO;BIMOTOR;PARTICULAR;CRUZEIRO;NENHUM;0;ACIMA 5700KG;INCIDENTE;MG;1;NÃO;2010;MADRUGADA;FALHA DO MOTOR EM VOO
40170;AVIÃO;MCDONNELL DOUGLAS;JATO;TRIMOTOR;REGULAR;CORRIDA APÓS POUSO;NENHUM;0;ACIMA 5700KG;INCIDENTE;AM;1;NÃO;2010;MANHÃ;ESTOURO DE PNEU
40171;AVIÃO;AERO BOERO;PISTÃO;MONOMOTOR;INSTRUÇÃO;DECOLAGEM;SUBSTANCIAL;0;ATÉ 2250KG;ACIDENTE;TO;1;NÃO;2010;NOITE;FALHA DO MOTOR EM VOO
40190;AVIÃO;FOKKER;JATO;BIMOTOR;REGULAR;TÁXI;NENHUM;0;ACIMA 5700KG;INCIDENTE;RJ;1;NÃO;2010;MADRUGADA;OUTROS
40207;AVIÃO;EMBRAER;PISTÃO;BIMOTOR;TÁXI AÉREO;POUSO;NENHUM;0;ATÉ 2250KG;INCIDENTE;AC;1;NÃO;2010;NOITE;TRÁFEGO AÉREO
40209;AVIÃO;XAVANTE;PISTÃO;MONOMOTOR;INSTRUÇÃO;RETA FINAL;NENHUM;0;ATÉ 2250KG;INCIDENTE;RJ;1;NÃO;2010;TARDE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
40210;AVIÃO;CESSNA AIRCRAFT;PISTÃO;MONOMOTOR;PARTICULAR;SUBIDA;NENHUM;0;ATÉ 2250KG;INCIDENTE;RJ;1;NÃO;2010;NOITE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
40211;HELICÓPTERO;SIKORSKY AIRCRAFT;TURBOEIXO;BIMOTOR;TÁXI AÉREO;DECOLAGEM;NENHUM;0;ENTRE 2250KG E 5700KG;INCIDENTE;RJ;1;NÃO;2010;TARDE;TRÁFEGO AÉREO
40212;AVIÃO;NÃO INFORMADO;PISTÃO;MONOMOTOR;EXPERIMENTAL;CORRIDA APÓS POUSO;NENHUM;0;ATÉ 2250KG;INCIDENTE;MG;1;NÃO;2010;TARDE;FALHA DO MOTOR NO SOLO
40213;AVIÃO;CESSNA AIRCRAFT;PISTÃO;MONOMOTOR;PARTICULAR;POUSO;LEVE;0;ATÉ 2250KG;INCIDENTE GRAVE;GO;1;NÃO;2010;NOITE;COM TREM DE POUSO
40214;AVIÃO;BEECH AIRCRAFT;PISTÃO;BIMOTOR;ADMINISTRAÇÃO INDIRETA;POUSO;SUBSTANCIAL;0;ENTRE 2250KG E 5700KG;ACIDENTE;PA;1;NÃO;2010;NOITE;POUSO EM LOCAL NÃO PREVISTO
40215;AVIÃO;AEROSPATIALE AND ALENIA;TURBOÉLICE;BIMOTOR;REGULAR;POUSO;NENHUM;0;ACIMA 5700KG;INCIDENTE;AM;1;SIM;2010;NOITE;TRÁFEGO AÉREO
40227;AVIÃO;AEROSPATIALE AND ALENIA;TURBOÉLICE;BIMOTOR;REGULAR;TÁXI;NENHUM;0;ACIMA 5700KG;INCIDENTE;SP;1;NÃO;2010;TARDE;VAZAMENTO DE OUTROS FLUIDOS
40228;AVIÃO;PIPER AIRCRAFT;PISTÃO;BIMOTOR;INSTRUÇÃO;CIRCUITO DE TRÁFEGO;LEVE;0;ATÉ 2250KG;INCIDENTE;SP;1;NÃO;2010;TARDE;COLISÃO COM AVE
40247;AVIÃO;EMBRAER;PISTÃO;BIMOTOR;INSTRUÇÃO;TÁXI;LEVE;0;ATÉ 2250KG;INCIDENTE;SC;1;NÃO;2010;NOITE;PERDA DE CONTROLE NO SOLO
40248;AVIÃO;CESSNA AIRCRAFT;TURBOÉLICE;MONOMOTOR;ESPECIALIZADA;TÁXI;LEVE;0;ENTRE 2250KG E 5700KG;INCIDENTE;RS;1;NÃO;2010;NOITE;ESTOURO DE PNEU
40250;AVIÃO;NILSON SULZBACH PERES;PISTÃO;MONOMOTOR;EXPERIMENTAL;POUSO;SUBSTANCIAL;0;ATÉ 2250KG;ACIDENTE;GO;1;NÃO;2010;NOITE;PERDA DE CONTROLE EM VOO
40251;HELICÓPTERO;HELIBRAS;TURBOEIXO;MONOMOTOR;ADMINISTRAÇÃO DIRETA;PAIRADO;NENHUM;0;ATÉ 2250KG;INCIDENTE;SC;1;NÃO;2010;TARDE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
40258;AVIÃO;EMBRAER;PISTÃO;BIMOTOR;TÁXI AÉREO;CORRIDA APÓS POUSO;LEVE;0;ATÉ 2250KG;INCIDENTE;PA;1;NÃO;2010;NOITE;COLISÃO COM OBSTÁCULOS NO SOLO
40260;HELICÓPTERO;HELIBRAS;TURBOEIXO;MONOMOTOR;ADMINISTRAÇÃO DIRETA;CIRCUITO DE TRÁFEGO;LEVE;0;ATÉ 2250KG;INCIDENTE;MG;1;NÃO;2010;NOITE;COLISÃO COM AVE
40261;ULTRALEVE;EDSON PIMENTEL MATHEUS;PISTÃO;MONOMOTOR;EXPERIMENTAL;POUSO;LEVE;0;ATÉ 2250KG;INCIDENTE;RJ;1;NÃO;2010;TARDE;POUSO SEM TREM
40262;AVIÃO;CESSNA AIRCRAFT;JATO;BIMOTOR;TÁXI AÉREO;TÁXI;LEVE;0;ACIMA 5700KG;INCIDENTE;SP;1;NÃO;2010;MADRUGADA;COLISÃO COM OBSTÁCULOS NO SOLO
40264;AVIÃO;EMBRAER;PISTÃO;BIMOTOR;TÁXI AÉREO;POUSO;SUBSTANCIAL;0;ATÉ 2250KG;ACIDENTE;MT;1;NÃO;2010;TARDE;POUSO EM LOCAL NÃO PREVISTO
40267;AVIÃO;PIPER AIRCRAFT;PISTÃO;BIMOTOR;TÁXI AÉREO;CRUZEIRO;NENHUM;0;ENTRE 2250KG E 5700KG;INCIDENTE GRAVE;BA;1;NÃO;2010;MANHÃ;FALHA DO MOTOR EM VOO
40269;AVIÃO;CESSNA AIRCRAFT;PISTÃO;BIMOTOR;PARTICULAR;POUSO;LEVE;0;ENTRE 2250KG E 5700KG;INCIDENTE GRAVE;GO;1;SIM;2010;NOITE;COM TREM DE POUSO
40270;AVIÃO;CESSNA AIRCRAFT;PISTÃO;MONOMOTOR;INSTRUÇÃO;PARTIDA DO MOTOR;SUBSTANCIAL;0;ATÉ 2250KG;INCIDENTE GRAVE;SP;1;NÃO;2010;NOITE;FOGO NO SOLO
40271;AVIÃO;CIA AERONAUTICA PAULISTA;PISTÃO;MONOMOTOR;INSTRUÇÃO;DECOLAGEM;LEVE;0;ATÉ 2250KG;ACIDENTE;PE;1;NÃO;2010;MANHÃ;PERDA DE CONTROLE EM VOO
40273;AVIÃO;CESSNA AIRCRAFT;TURBOÉLICE;MONOMOTOR;TÁXI AÉREO;POUSO;LEVE;0;ENTRE 2250KG E 5700KG;INCIDENTE;AC;1;NÃO;2010;TARDE;COM PARA-BRISAS / JANELA / PORTA
40275;AVIÃO;PILATUS;TURBOÉLICE;MONOMOTOR;PARTICULAR;TÁXI;NENHUM;0;ENTRE 2250KG E 5700KG;INCIDENTE;DF;1;NÃO;2010;NOITE;OUTROS
40287;AVIÃO;PIPER AIRCRAFT;PISTÃO;BIMOTOR;INSTRUÇÃO;DECOLAGEM;NENHUM;0;ATÉ 2250KG;INCIDENTE;SC;1;NÃO;2010;TARDE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
40288;AVIÃO;BOEING COMPANY;JATO;BIMOTOR;REGULAR;DECOLAGEM;LEVE;0;ACIMA 5700KG;INCIDENTE;CE;1;NÃO;2010;TARDE;COLISÃO COM AVE
40290;AVIÃO;EMBRAER;JATO;BIMOTOR;REGULAR;CORRIDA APÓS POUSO;NENHUM;0;ACIMA 5700KG;INCIDENTE;ES;1;NÃO;2010;MADRUGADA;OUTROS
40291;AVIÃO;BOEING COMPANY;JATO;BIMOTOR;REGULAR;CRUZEIRO;NENHUM;0;ACIMA 5700KG;INCIDENTE;MG;1;NÃO;2010;NOITE;FALHA DO MOTOR EM VOO
40292;AVIÃO;AEROSPATIALE AND ALENIA;TURBOÉLICE;BIMOTOR;REGULAR;OUTRA FASE;NENHUM;0;ACIMA 5700KG;INCIDENTE;SP;1;NÃO;2010;NOITE;FALHA DO MOTOR EM VOO
40293;AVIÃO;CESSNA AIRCRAFT;PISTÃO;MONOMOTOR;PARTICULAR;DESCIDA;NENHUM;0;ATÉ 2250KG;INCIDENTE;RJ;1;NÃO;2010;TARDE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
40294;AVIÃO;AEROMOT;PISTÃO;MONOMOTOR;INSTRUÇÃO;TÁXI;NENHUM;0;ATÉ 2250KG;INCIDENTE;RJ;1;NÃO;2010;NOITE;FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE
40295;AVIÃO;AIRBUS INDUSTRIE;JATO;BIMOTOR;REGULAR;TÁXI;NENHUM;0;ACIMA 5700KG;INCIDENTE;AC;1;NÃO;2010;NOITE;OUTROS
40296;AVIÃO;NEIVA INDUSTRIA AERONAUTICA;PISTÃO;BIMOTOR;PARTICULAR;APROXIMAÇÃO FINAL;NENHUM;0;ATÉ 2250KG;INCIDENTE;PR;1;NÃO;2010;NOITE;FALHA DO MOTOR EM VOO
40307;AVIÃO;AEROMOT;PISTÃO;MONOMOTOR;INSTRUÇÃO;POUSO;LEVE;0;ATÉ 2250KG;INCIDENTE;PA;1;NÃO;2010;NOITE;ESTOURO DE PNEU
